EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
2,4,132,29,36,2626,105,174,15040
2.7,6,200,21,29,3469,113,204,22035
2.4,4,150,21,28,3182,108,191,18820
2.4,4,150,21,28,3175,108,191,20220
3.5,6,232,18,27,3487,113,204,24885
2.4,4,150,20,26,3862,113,189,21795
3.8,6,215,18,25,4440,119,201,32660
8.3,10,500,12,20,3410,99,176,81795
3.7,6,210,16,22,3714,112,193,17630
3.7,6,210,16,22,3829,131,219,20300
3.7,6,215,16,21,4542,121,208,20215
6.8,10,310,10,13,7190,137,227,41475
4.6,8,232,15,19,5000,119,206,34560
4,6,210,15,20,4463,114,190,29670
3,6,201,18,23,3346,103,173,22515
2,4,130,26,33,2612,103,168,13270
2,4,110,27,36,2606,103,168,13730
2,4,130,26,33,2606,103,168,15460
2,4,130,26,33,2691,103,168,15580
2,4,170,21,28,2750,103,168,19135
3,6,155,20,27,3306,109,198,20320
3,6,201,19,26,3313,109,198,22735
4.6,8,224,17,25,4057,115,212,24345
4.6,8,224,17,25,4057,115,212,27370
4.6,8,239,17,25,4057,115,212,30315
3.9,6,193,17,23,4275,121,201,26930
3.8,6,193,20,29,3290,101,183,18345
4.6,8,260,17,25,3347,101,183,29380
3.9,8,280,17,24,3780,107,186,37530
4.6,8,231,15,19,4788,126,211,22010
5.4,8,300,14,18,5464,133,218,33540
2.3,4,143,24,29,3028,111,188,14385
2,4,130,26,33,2702,103,178,17475
3,6,155,19,26,3497,109,198,22290
4.2,6,275,15,19,4945,129,208,31890
4.8,8,285,16,19,5042,116,199,35725
6,8,325,13,17,6133,130,219,46265
4.3,6,190,16,20,4309,111,190,25640
2.8,4,175,18,25,3351,111,192,16530
4.8,8,285,17,20,4548,144,230,25717
6,8,300,13,18,5440,133,222,29322
4.3,6,190,15,19,4083,123,208,25395
1.4,4,93,46,51,2732,103,175,20140
2,3,73,60,66,1850,95,155,19110
3.5,6,240,17,22,4387,106,188,27560
2.4,4,160,21,25,3258,103,179,19860
2.4,4,160,21,24,3468,101,167,18690
1.7,4,115,32,38,2432,103,175,13270
1.7,4,117,36,44,2500,103,175,14170
1.7,4,115,32,38,2513,103,175,15850
2.4,4,160,26,34,2994,105,188,19860
2.4,4,160,26,34,3047,105,188,22260
1.7,4,127,32,37,2601,103,175,17750
2,4,160,26,30,2782,101,166,19490
3,6,240,21,30,3349,108,190,23760
3,6,240,21,30,3294,105,188,26960
3.5,6,240,18,25,4310,118,201,24950
3.5,6,240,18,25,4365,118,201,27450
2.2,4,240,20,25,2835,95,162,33260
6,8,316,10,12,6400,123,190,49995
2.7,6,173,20,26,3549,103,177,21589
1.6,4,103,29,33,2255,96,167,10539
1.6,4,103,29,33,2290,96,167,11839
1.6,4,103,29,33,2339,96,167,11939
2,4,138,26,34,2635,103,178,13839
2,4,138,26,34,2635,103,178,15389
2,4,138,26,34,2698,103,178,15389
2.7,6,170,19,27,3217,106,187,19339
2.7,6,170,19,27,3217,106,187,20339
3.5,6,194,17,26,3651,108,192,24589
3.5,6,194,17,26,3651,108,192,26189
2.7,6,172,19,26,3023,100,173,18739
3.5,6,260,18,26,3336,112,187,28495
3.5,6,280,18,26,3416,112,182,29795
3.5,6,260,18,26,3677,112,187,32445
3.5,6,255,19,26,3306,108,194,31145
4.5,8,340,17,23,3851,110,197,42845
4.5,8,340,17,23,3977,113,200,52545
3.5,6,280,16,22,4056,112,189,34895
4.5,8,315,15,19,4309,112,189,36395
4.2,6,275,15,20,4967,129,208,31849
3.2,6,193,17,21,3836,106,178,20449
2.5,6,192,18,26,3428,107,184,29995
3,6,227,18,25,3516,107,184,33995
3,6,235,18,26,3777,115,192,43895
4.2,8,294,18,28,3874,115,192,49995
4.2,8,390,17,24,4046,115,192,63120
4.2,8,294,18,28,3803,119,200,68995
4.2,8,294,18,28,3803,119,200,59995
4.2,8,390,17,24,3948,119,200,74995
4.2,8,294,18,26,3779,102,187,69995
4.2,8,294,18,26,3980,102,187,74995
4.2,8,390,16,23,3865,102,187,81995
4.2,8,390,16,23,4042,102,187,86995
4,6,195,16,21,3790,106,181,27905
2.4,4,150,20,24,3826,104,174,20130
4,6,190,16,19,3575,93,150,25520
3.5,6,192,16,19,4112,107,180,19635
2.4,4,138,23,30,3281,106,186,16040
1.6,4,104,26,33,2403,95,167,10280
1.6,4,104,25,32,2458,95,167,11155
1.8,4,124,24,32,2661,101,178,12360
1.8,4,124,24,32,2686,101,178,13580
1.8,4,124,24,32,2697,101,178,14630
2.7,6,170,20,27,3279,106,186,18435
3.5,6,195,17,25,4021,110,196,26000
3.5,6,195,16,22,4802,115,194,20615
1.6,4,104,26,33,2447,95,167,11905
4.4,8,282,12,16,5379,113,195,72250
4.6,8,217,12,16,4576,100,185,39250
2.5,6,174,18,21,3577,101,175,25995
4.7,8,235,15,19,4740,110,188,45700
4.7,8,235,13,17,5590,112,193,64800
3.3,6,230,18,24,4065,107,186,39195
3.3,6,225,20,29,3460,107,191,32350
3,6,215,18,25,3255,105,177,31045
3,6,215,18,24,3285,105,177,32415
3,6,220,18,25,3649,110,189,41010
4.3,8,300,18,23,3715,110,189,48450
4.3,8,290,18,25,3990,115,197,55750
4.3,8,300,18,23,3840,103,178,63200
3,6,215,18,24,3410,105,177,32455
5.4,8,300,13,18,5969,119,206,52775
4.6,8,302,13,18,4834,114,193,42915
3,6,232,20,26,3681,115,194,32495
3,6,232,20,26,3681,115,194,36895
3.9,8,280,17,24,3768,115,194,40095
3.9,8,280,17,24,3768,115,194,43495
4.6,8,239,17,25,4369,118,215,41815
4.6,8,239,17,25,4369,118,215,44925
4.6,8,239,17,25,4474,124,221,50470
1.6,4,115,28,37,2524,97,143,16999
1.6,4,163,25,34,2678,97,144,19999
2,4,130,22,25,3091,103,173,21087
2,4,148,26,34,2696,104,178,15500
2.3,4,160,25,31,2762,104,179,17200
2.3,4,160,24,32,3042,105,187,19270
3,6,200,18,25,3812,112,188,28750
1.8,4,142,23,28,2387,89,156,22388
1.8,4,142,23,28,2387,89,156,25193
1.3,4,197,18,25,3053,106,174,25700
1.3,4,238,18,24,3029,106,174,27200
2.3,4,143,24,29,2960,112,188,14840
4,6,207,15,19,3571,126,203,22350
5,8,292,13,14,5423,112,186,76870
5,8,288,14,17,4874,111,183,46470
1.8,4,189,22,30,3250,107,178,26060
3.2,6,215,19,26,3430,107,178,28370
2.6,6,168,20,25,3360,107,178,32280
2.6,6,168,19,25,3360,107,178,33480
3.2,6,215,19,26,3430,107,178,35920
3.2,6,215,20,26,3450,107,178,37630
3.2,6,215,19,27,3450,107,178,38830
3.2,6,349,16,21,3540,107,178,52120
5,8,302,16,24,4085,114,196,94820
5.5,12,493,13,19,4473,114,196,128420
3.2,6,215,20,26,3770,107,183,45707
5,8,302,17,22,3585,107,183,52800
3.2,6,221,19,27,3635,112,190,48170
5,8,302,16,20,3815,112,190,57270
4.3,8,275,18,26,4160,122,203,74320
5,8,302,16,24,4390,122,203,86970
5,8,302,16,23,4065,101,179,90520
5.5,8,493,14,21,4235,101,179,121770
5.5,12,493,13,19,4429,101,179,126670
2.3,4,192,21,29,3055,95,158,40320
3.2,6,349,17,22,3220,95,158,56170
2.6,6,168,19,25,3470,107,179,33780
3.2,6,221,19,27,3966,112,190,50670
5,8,302,16,24,4230,112,190,60670
4,6,210,16,21,4374,114,190,29995
3,6,155,20,27,3308,109,200,21595
4.6,8,224,17,25,4052,115,212,24695
4.6,8,224,17,25,4052,115,212,29595
3,6,201,19,26,3315,109,200,23895
4.6,8,224,17,25,4052,115,212,30895
4.6,8,302,17,23,4195,115,212,34495
4.2,6,201,16,23,4340,121,202,33995
3,6,155,19,26,3488,109,198,22595
3.8,6,215,17,21,4134,109,190,30492
3.8,6,215,15,19,4718,110,190,33112
2.4,4,160,21,27,3240,103,179,18892
2,4,120,25,31,2656,102,181,14622
2,4,120,25,31,2795,102,181,16722
2.4,4,160,23,30,3351,108,191,19312
2,4,120,25,31,2744,102,181,17232
3.5,6,205,18,25,3549,107,194,29282
3.8,6,230,18,26,3649,108,191,25700
3,6,210,21,28,3241,101,177,25092
3,6,210,21,28,3296,101,177,26992
2,4,271,18,26,3263,103,179,29562
2.4,4,160,25,31,3020,102,181,17495
5.6,8,305,13,19,5013,123,207,33840
3.5,6,240,16,21,3871,106,183,27339
3.3,6,180,17,20,3760,104,178,20939
1.8,4,126,28,35,2513,100,178,12740
1.8,4,126,28,35,2581,100,178,14740
2.5,4,175,21,26,3039,110,192,19240
2.5,4,165,23,28,2761,100,178,17640
3.5,6,245,21,26,3197,110,192,23290
3.5,6,265,20,28,3473,111,194,27490
3.5,6,265,20,28,3476,111,194,29440
3.5,6,240,19,26,4012,124,204,24780
3.5,6,240,18,25,4175,124,204,32780
3.5,6,287,20,26,3188,104,169,26910
3.5,6,287,20,26,3428,104,169,34390
3.3,6,180,17,20,3932,116,191,19479
5.6,8,305,14,18,5287,140,224,26650
3.5,6,245,20,25,3801,111,188,28739
2.2,4,140,24,32,2946,107,187,18825
3.4,6,170,20,29,3085,107,187,23675
3.4,6,185,19,26,3948,120,201,28790
3.4,6,185,19,26,3779,108,182,21595
2.2,4,140,24,33,2771,104,182,15495
3.4,6,175,20,29,3118,107,186,22450
3.8,6,200,20,30,3477,111,198,22395
2.2,4,140,24,33,2771,104,182,17735
3.8,6,200,20,30,3484,111,198,24295
4.6,8,275,17,20,3790,112,203,35995
3.4,6,185,19,26,3803,112,187,23845
3.4,6,185,18,24,4431,121,201,31370
5.7,8,340,16,20,3725,110,190,33500
1.8,4,130,29,36,2701,102,172,17045
4.5,8,340,14,18,4950,112,188,56665
3.6,6,315,18,26,3135,93,175,79165
3.6,6,315,17,24,3240,93,175,84165
3.6,6,315,18,26,3119,93,175,76765
3.6,6,477,17,24,3131,93,175,192465
2.7,6,228,20,29,2811,95,170,43365
3.2,6,258,18,26,2911,95,170,52365
2,4,210,20,28,3175,105,183,30860
2,4,210,20,28,3175,105,183,33360
2.3,4,220,21,29,3470,106,190,35105
2.3,4,250,21,29,3470,106,190,39465
2,4,210,21,29,3480,105,182,40670
2,4,210,21,30,3700,105,182,43175
2.3,4,250,19,29,3620,106,190,40845
2.2,4,143,21,26,3381,107,181,20585
2.2,4,140,26,35,2692,103,185,10995
2.2,4,140,26,35,2692,103,185,14300
2.2,4,140,26,35,2692,103,185,15825
2.2,4,140,26,35,2751,103,185,14850
2.2,4,140,26,35,2751,103,185,16350
3,6,182,20,28,3197,107,190,21410
2.2,4,140,24,34,3109,107,190,23560
1.5,4,108,32,38,2340,93,154,12965
1.5,4,108,31,35,2425,98,155,14165
2.5,4,165,22,28,2965,99,174,19945
2.5,4,165,21,28,3285,104,184,20445
2.5,4,165,21,28,3395,104,184,25645
2.5,4,165,20,27,3495,104,184,27145
3,6,212,19,26,3610,104,184,29345
3,6,212,19,26,3630,104,184,31545
2,4,227,20,27,3085,99,174,25045
2.5,4,300,18,24,3263,100,174,31545
2.5,4,165,21,28,3485,104,193,24520
2.5,4,165,21,28,3090,99,175,21445
2.5,4,165,21,28,3430,104,187,23895
2.7,6,185,18,22,3682,110,187,23699
2.5,6,165,19,22,3020,98,163,17163
2.3,4,155,25,31,2676,98,171,12884
2.3,4,155,25,31,2676,98,171,14500
2,4,119,24,31,2701,102,177,12269
2,4,119,22,30,2756,102,177,15568
2.5,6,155,20,27,3380,106,188,17262
2.3,4,155,24,29,2932,98,167,16497
1.5,4,110,59,51,2890,106,175,20510
4.7,8,240,14,17,5270,118,204,35695
4,6,245,18,21,4035,110,189,27710
3.3,6,230,18,24,3935,107,185,27930
4.7,8,325,13,17,5390,112,193,54765
2.4,4,161,22,27,3119,98,167,20290
1.8,4,130,32,40,2502,102,178,14085
1.8,4,130,32,40,2524,102,178,15030
1.8,4,130,32,40,2524,102,178,15295
1.5,4,108,35,43,2035,93,163,10760
1.5,4,108,33,39,2085,93,163,11560
1.5,4,108,35,43,2055,93,163,11290
2.4,4,157,24,33,3086,107,189,19560
3,6,210,21,29,3296,107,189,22775
2.4,4,157,24,33,3175,107,193,19635
3.3,6,225,20,29,3417,107,193,21965
3,6,210,21,29,3417,107,192,26560
3,6,210,21,29,3362,107,189,25920
3.3,6,225,20,29,3439,107,193,26510
3,6,210,21,29,3439,107,192,30920
3.3,6,230,19,27,4120,119,200,23495
3.3,6,230,19,27,4165,119,200,28800
1.8,4,180,24,33,2500,102,171,22570
1.8,4,138,26,32,2195,97,153,25130
2.4,4,142,22,27,2750,103,191,12800
3.4,6,190,16,18,3925,128,218,16495
3.4,6,190,14,17,4435,128,218,25935
1.8,4,130,29,36,2679,102,171,16695
3.2,6,220,15,20,5086,112,187,35515
2,4,115,24,31,2897,99,165,18715
1.8,4,180,24,31,2934,99,168,19825
1.9,4,100,38,46,3003,99,172,21055
1.8,4,150,24,31,2820,99,161,21055
2.8,6,200,21,30,3179,99,172,23785
2,4,115,24,30,3082,99,161,23215
1.8,4,170,22,31,3241,106,185,23955
2.8,6,190,19,26,3721,106,185,33180
4,8,270,18,25,3953,106,185,39235
4.2,8,335,16,22,5194,118,204,65000
6,12,420,12,19,5399,118,204,75000
2,4,115,24,30,3034,99,174,19005
1.8,4,170,22,31,3338,106,184,24955
4,8,270,18,25,4067,106,184,40235
2.9,6,268,15,20,4638,113,189,41250
1.9,4,170,22,29,2767,101,178,25135
2.5,5,208,20,27,3903,107,180,31745
2.3,5,247,20,28,3766,107,180,34845
2.5,5,300,18,25,3571,107,181,37560
2.9,6,208,20,28,3576,110,190,37730
2.5,5,194,20,27,3691,110,190,37885
2.4,5,197,21,28,3450,105,186,40565
2.3,5,242,20,26,3450,105,186,42565
2.9,6,268,19,26,3653,110,190,45210
1.9,4,170,22,29,2822,101,180,26135
2.5,5,208,20,27,3823,109,186,35145
